aerialWon,age,apps,appsSub,assists,bigChanceCreated,bigChanceFaced,bigChanceSucc,blocks,clears,country,countryZh,crossSucc,crosses,disp,dribbledPast,dribbles,errorsSum,finalThirdPass,finalThirdPassSucc,fouled,fouls,goalProp,goals,interceptions,keyPasses,longBall,longBallSucc,mans,mins,offsideWon,offsides,passSucc,passes,playerCountry,playerId,playerMainPosition,playerName,rate,redCards,shots,shotsOT,shotsOTProp,tackles,teamId,teamName,thBall,thBallSucc,unsTouches,yelCards
0.0,28,2,3,2,2,1,0.0,0.0,0.4,Algeria,阿尔及利亚,0.0,0.6,1.6,0.8,0.8,0,10.4,0.865385,0.6,0.4,0.0,0,1.0,2.2,1.0,0.0,0,218,0.0,0.4,89.5638,23.0,Algeria,263,右边锋,马赫雷斯,7.332,0,1.0,0.6,0.6,1.2,11,曼城,0.6,0.0,0.4,0
0.4,32,5,0,0,0,0,0.0,0.0,0.4,France,法国,0.0,0.0,0.0,0.0,0.0,0,1.6,0.125,0.2,0.0,0.0,0,0.0,0.0,5.4,0.0,0,450,0.0,0.0,80.0012,24.0,France,56,门将,洛里,7.328,0,0.0,0.0,0.0,0.0,3,热刺,0.0,0.0,0.0,0
3.4,29,5,0,0,0,3,0.666667,0.2,0.6,England,英格兰,0.0,0.0,1.4,0.2,1.0,0,7.6,0.394737,2.8,1.6,0.25,4,0.2,0.0,0.2,0.0,1,415,0.0,0.8,57.1435,16.8,England,516,中锋,阿什利·巴恩斯,7.318,0,3.2,1.6,0.5,0.2,20,伯恩利,0.0,0.0,1.8,1
0.0,26,5,0,1,1,1,0.0,0.2,0.0,Argentina,阿根廷,0.0,1.4,1.4,1.4,3.4,0,20.0,0.83,1.2,0.0,0.0,0,0.8,3.0,1.6,0.0,1,448,0.0,0.2,88.8478,52.0,Argentina,6320,前腰,兰奇尼,7.316,0,1.6,0.4,0.25,0.6,16,西汉姆联,0.2,0.0,2.0,0
0.4,20,5,0,2,3,2,0.0,0.2,1.0,England,英格兰,0.0,2.4,0.4,1.2,0.6,0,22.4,0.669643,0.0,1.0,0.0,0,0.8,4.2,4.2,0.0,0,450,0.8,0.0,75.3419,58.4,England,19145,右后卫,特伦特·阿诺德,7.286,0,1.4,0.6,0.428571,1.0,13,利物浦,0.0,0.0,0.8,1
0.6,21,5,0,1,0,6,0.5,0.0,0.6,England,英格兰,0.0,0.4,1.0,0.4,1.4,0,14.2,0.605634,2.6,0.6,0.166667,3,0.2,1.0,0.6,0.0,2,445,0.0,0.2,71.2113,26.4,England,6274,中锋,拉什福德,7.284,0,3.6,1.2,0.333333,0.799998,2,曼联,0.2,0.0,2.6,0
5.0,26,5,0,0,1,0,0.0,0.6,4.6,England,英格兰,0.0,0.0,0.0,0.2,0.0,0,8.8,0.772727,0.2,0.4,0.0,0,1.8,0.8,4.8,0.0,0,450,0.6,0.0,88.2366,64.6,England,458,中后卫,哈里·马奎尔,7.274,0,0.6,0.4,0.666667,0.8,2,曼联,0.2,0.0,0.0,1
0.8,21,5,0,0,0,1,0.0,0.0,1.8,England,英格兰,0.0,0.6,1.2,1.0,1.8,0,20.4,0.77451,0.6,0.6,0.0,0,1.2,0.8,1.4,0.0,0,450,0.0,0.0,80.6703,53.8,England,20653,右后卫,万·比萨卡,7.272,0,0.4,0.0,0.0,5.6,2,曼联,0.0,0.0,0.999998,2
0.4,30,5,0,0,0,4,0.75,0.0,0.2,Gabon,加蓬,0.0,1.0,1.4,0.6,0.4,0,11.8,0.661017,0.4,0.0,0.3125,5,0.4,0.8,0.4,0.0,0,450,0.0,1.0,73.1716,24.6,Gabon,1818,中锋,奥巴梅扬,7.264,0,3.2,1.4,0.4375,1.0,12,阿森纳,0.0,0.0,2.0,1
4.0,27,5,0,0,1,0,0.0,0.4,5.0,Denmark,丹麦,0.0,0.2,0.0,0.999998,0.0,0,5.8,0.482759,0.4,0.6,0.2,1,2.2,0.6,2.0,0.0,0,450,0.4,0.0,76.9238,39.0,Denmark,1868,中后卫,维斯特高,7.242,0,1.0,0.8,0.8,1.2,15,南安普顿,0.0,0.0,0.6,1
0.666667,28,3,0,0,0,0,0.0,0.333333,0.666667,Iceland,冰岛,0.0,2.66667,0.333333,1.0,0.666667,0,6.66667,0.6,0.333333,0.333333,0.333333,1,1.33333,2.33333,0.666667,0.0,0,228,0.0,0.0,57.5017,13.3333,Iceland,10199,右边锋,古德蒙松,7.24,0,1.0,0.333333,0.333333,0.333333,20,伯恩利,0.0,0.0,1.66667,0
2.6,22,5,0,1,1,0,0.0,0.6,1.4,Scotland,苏格兰,0.0,0.4,1.6,0.6,1.0,1,13.8,0.753623,3.0,1.8,0.0,0,2.0,0.6,4.4,0.0,0,437,0.0,0.0,82.3315,53.2,Scotland,22156,中场,麦克托米奈,7.232,0,1.2,0.0,0.0,1.6,2,曼联,0.0,0.0,2.2,0
0.0,22,2,1,1,0,0,0.0,0.666667,0.0,France,法国,0.0,0.0,0.666667,0.666667,2.0,0,13.3333,0.775,0.666667,1.0,0.5,1,1.0,0.666667,1.0,0.0,0,205,0.0,0.0,85.2454,40.6667,France,23532,中场,恩东贝莱,7.226667,0,0.666667,0.333333,0.5,2.33333,3,热刺,0.0,0.0,1.66667,0
0.6,25,5,0,1,1,1,0.0,0.2,1.0,Scotland,苏格兰,0.0,1.2,0.2,1.4,1.6,0,31.0,0.812903,0.6,0.6,0.0,0,1.8,1.4,2.4,0.0,0,450,1.0,0.0,86.6331,80.8,Scotland,459,左后卫,罗伯逊,7.222,0,1.4,0.4,0.285714,1.2,13,利物浦,0.0,0.0,2.0,0
1.0,26,5,0,1,1,3,0.666667,0.2,0.6,England,英格兰,0.0,0.2,1.6,0.2,0.6,0,8.6,0.55814,1.2,1.8,0.214286,3,0.2,0.8,1.2,0.0,1,445,0.0,0.4,67.1044,15.2,England,86,中锋,哈里·凯恩,7.22,0,2.8,0.8,0.285714,0.4,3,热刺,0.0,0.0,2.4,0
2.33333,24,3,0,0,0,0,0.0,0.0,2.0,France,法国,0.0,0.333333,1.0,0.0,0.666667,1,8.66667,0.653846,1.66667,2.0,0.0,0,4.33333,0.666667,2.0,0.0,0,265,0.0,0.666667,77.9051,28.6667,France,7337,右后卫,吉尔伯特,7.216667,0,1.33333,0.333333,0.25,2.66667,7,阿斯顿维拉,0.0,0.0,1.33333,2
1.33333,22,1,2,1,0,0,0.0,0.0,0.0,Brazil,巴西,0.0,0.0,0.666667,0.666667,2.33333,0,5.33333,0.8125,0.666667,1.33333,0.111111,1,0.333333,0.333333,0.666667,0.0,0,126,0.0,0.333333,89.2868,9.33333,Brazil,8144,中锋,热苏斯,7.213333,0,3.0,1.0,0.333333,0.0,11,曼城,0.0,0.0,0.333333,0
3.0,26,5,0,1,1,0,0.0,2.0,8.0,England,英格兰,0.0,0.2,0.2,0.0,0.4,0,5.8,0.37931,0.0,0.6,0.0,0,1.6,0.4,3.6,0.0,0,450,0.8,0.2,78.2048,46.8,England,6413,中后卫,泰隆·明斯,7.202,0,0.0,0.0,0.0,0.4,7,阿斯顿维拉,0.0,0.0,0.2,1
0.0,27,5,0,1,0,1,1.0,0.0,0.2,Argentina,阿根廷,0.0,0.999998,2.6,0.6,1.2,0,13.8,0.811594,0.8,1.4,0.25,2,0.6,1.2,1.2,0.0,0,385,0.0,0.0,84.414,30.8,Argentina,70,右边锋,拉梅拉,7.18,0,1.6,0.8,0.5,1.4,3,热刺,0.0,0.0,1.8,2
0.8,28,5,0,0,1,0,0.0,0.2,1.2,Northern Ireland,北爱尔兰,0.0,2.0,0.2,2.2,0.0,0,20.2,0.653465,1.2,1.4,0.0,0,2.2,2.6,9.2,0.0,0,450,0.2,0.0,81.7868,60.4,Northern Ireland,11006,中场,诺伍德,7.162,0,0.6,0.2,0.333333,3.0,507,谢菲尔德联,0.0,0.0,0.4,0
1.4,22,5,0,2,2,0,0.0,0.4,2.2,England,英格兰,0.0,0.6,1.4,1.4,1.8,0,13.2,0.742424,1.0,0.799998,0.0,0,2.2,1.2,1.0,0.0,1,450,0.2,0.0,81.4977,50.8,England,20652,右中场,奈尔斯,7.156,0,0.4,0.0,0.0,2.4,12,阿森纳,0.0,0.0,2.0,0
6.5,27,4,0,0,0,0,0.0,0.0,3.5,Ireland,爱尔兰,0.0,0.0,0.0,1.25,0.5,0,7.0,0.428571,1.25,1.0,0.0,0,2.25,0.0,3.5,0.0,1,360,0.25,0.0,76.6494,49.25,Ireland,354,中后卫,肖恩·达菲,7.1525,0,0.25,0.0,0.0,1.75,263,布莱顿,0.0,0.0,1.0,0
5.0,32,2,0,0,0,0,0.0,0.5,4.5,England,英格兰,0.0,0.0,0.0,0.0,0.5,0,6.0,0.25,0.0,0.0,0.0,0,2.0,0.0,3.0,0.0,0,180,0.0,0.0,79.8046,52.0,England,470,中后卫,斯科特·丹恩,7.14,0,0.5,0.0,0.0,0.0,19,水晶宫,0.0,0.0,0.0,0
0.4,22,5,0,2,2,2,0.0,0.0,0.0,England,英格兰,0.0,2.0,1.8,1.4,2.8,0,20.0,0.68,3.4,2.0,0.0,0,0.0,1.6,2.2,0.0,1,446,0.0,0.4,77.7229,40.4,England,6399,前腰,詹姆斯·麦迪逊,7.134,0,3.2,0.2,0.0625,1.8,10,莱斯特城,0.2,0.0,2.2,1
1.0,25,5,0,0,0,0,0.0,0.4,3.0,Portugal,葡萄牙,0.0,0.0,1.8,2.8,2.0,0,18.0,0.733333,1.2,1.4,0.0,0,1.4,0.4,1.8,0.0,0,450,0.4,0.0,81.7839,53.8,Portugal,3251,右后卫,里卡多·佩雷拉,7.132,0,0.4,0.0,0.0,5.0,10,莱斯特城,0.0,0.0,1.2,0
0.6,24,3,2,1,1,1,0.0,0.0,0.0,Cote d'Ivoire,科特迪瓦,0.0,0.2,2.2,0.2,3.6,0,13.6,0.705882,0.4,0.4,0.0,0,0.2,1.2,0.8,0.0,1,334,0.0,0.2,77.5973,25.0,Cote d'Ivoire,7441,右边锋,尼古拉斯·佩佩,7.128,0,2.6,0.8,0.307692,1.2,12,阿森纳,0.0,0.0,1.8,0
2.0,28,2,1,0,0,2,0.5,0.0,0.666667,France,法国,0.0,0.0,2.0,0.0,0.666667,0,8.66667,0.692308,1.0,0.666667,0.222222,2,0.0,0.666667,0.666667,0.0,0,147,0.0,0.666667,70.4543,14.6667,France,3007,中锋,拉卡泽特,7.113333,0,3.0,1.66667,0.555556,0.666667,12,阿森纳,0.0,0.0,2.0,1
1.0,20,5,0,0,0,0,0.0,0.4,0.6,England,英格兰,0.0,0.0,1.2,1.0,1.6,0,10.6,0.773585,0.2,1.2,0.0,0,2.2,0.4,4.4,0.0,0,450,0.0,0.0,86.6365,43.4,England,20679,后腰,德克兰·赖斯,7.094,0,0.8,0.0,0.0,4.0,16,西汉姆联,0.0,0.0,0.4,1
3.25,26,4,0,2,1,1,0.0,0.25,0.75,France,法国,0.0,0.0,3.25,0.999997,1.25,0,23.25,0.741934,1.5,1.75,0.0,0,0.25,2.75,6.75,0.0,0,360,0.0,0.0,81.0647,75.25,France,2112,中场,博格巴,7.0875,0,1.75,0.25,0.142857,0.999997,2,曼联,0.5,0.0,3.25,0
